;_id;estado;direccion;Aeropuerto;Aestrenar;Agua;Alarma;Alcantarillado;Amoblado;Ano Construcción;Area Construcción;Ascensor;Autopista;Avenida;Balcon;Barbecue;Bodega;Cable;CasaColonial;Chimenea;Cocina;Colegio;Comercios;Concreto;Concurrida;Conserje;EdificioN;Estacionamiento;GasCentral;Generador;Gimnasio;Hospital;Iglesia;JInfantiles;Jacuzzi;Jardin;MedidorAgua;Mes Construcción;Moderno;Montania;NoAmbientes;NoBanos;NoDormitorios;NoEstacionamientos;Piscina;Playa;Reconstruido;Renovado;Residencial;Seguridad;Terraza;Terreno;Total M²;TransporteP;Trole;Turismo;Vista Panoramica;Walk;ZonaTranquila;NoAmb;NoBan;NoDorm;NoMetros;estadoTran;lat;lng;precio;price;tipoInv;tipoTran;titulo
1394;b6eab19cc386d69c2b3dc031e41320c404919b82------Av. Calacali la Independencia - Pedro Vicente Maldonado, Ecuador;;Av. Calacali la Independencia - Pedro Vicente Maldonado, Ecuador;0;0;0;0;0;0;2014;400.0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1500.0;0;0;0;1;0;0;0;0;0;1,500;;0.080295;-79.004381;110000.0;110,000;Casa;De Venta;Av. Calacali la Independencia  -  Pedro Vicente Maldonado, Ecuador
1395;26c4f2f7831dc6598319e92bf37e6fe124d20b51---Usada---oe7 522 José Araigada y 1 transversal - 1 Transversal y José Araigada - Cochapamba - Quito, Ecuador;Usada;oe7 522 José Araigada y 1 transversal - 1 Transversal y José Araigada - Cochapamba - Quito, Ecuador;0;0;1;1;1;0;1983;214.0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;10;0;0;15;3;6;2;0;0;0;1;0;0;1;284;284.0;1;0;0;0;0;1;15;3;6;284;;-0.22985;-78.52495;110000.0;110,000;Casa;De Venta;oe7 522 José Araigada y 1 transversal  - 1 Transversal y José Araigada  - Cochapamba  -  Quito, Ecuador
1396;3f1053226a6de1d2efaf14786e903c1babd602e2------calle yanacona y OE12 - Colinas Del Norte - El Condado, Ecuador;;calle yanacona y OE12 - Colinas Del Norte - El Condado, Ecuador;0;0;0;0;0;0;2013;122.0;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;145;145.0;1;0;0;1;0;1;0;0;0;145;;0.0;0.0;110000.0;110,000;Casa;De Venta;calle yanacona y OE12  - Colinas Del Norte  -  El Condado, Ecuador
1397;fc9c7f6b86fca1515929b89386e8dbca546a09f1---Por Estrenar---S/N CIUDADELA GUAYACANES - NORTE SAN VICENTE - San Vicente, Ecuador;Por Estrenar;S/N CIUDADELA GUAYACANES - NORTE SAN VICENTE - San Vicente, Ecuador;0;0;0;0;0;0;2021;155.0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;6;3;3;10;0;1;0;0;0;1;0;1,952;1952.0;1;0;0;0;0;0;6;3;3;1,952;;-0.581364;-80.412884;110000.0;110,000;Terreno;De Venta;S/N CIUDADELA GUAYACANES  - NORTE SAN VICENTE  -  San Vicente, Ecuador
1398;7b1af594f3b262220865c97b8f452705ae816007------URB LA JOYA - ETAPA ESMERALDA - Sur de Daule - Daule, Ecuador;;URB LA JOYA - ETAPA ESMERALDA - Sur de Daule - Daule, Ecuador;0;0;1;0;1;0;2013;140.0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;1;1;0;8;4;5;1;0;0;0;0;1;0;0;112;112.0;1;0;0;0;0;1;8;4;5;112;;-2.037813;-79.916718;110000.0;110,000;Casa;De Venta;URB LA JOYA  - ETAPA ESMERALDA  - Sur de Daule  -  Daule, Ecuador
1399;1514e95d6c8c44e22f8e1f52fea862597d393b66---Reconstruida/ Renovada---URB LA JOYA - ETAPA PERLA - Daule, Ecuador;Reconstruida/ Renovada;URB LA JOYA - ETAPA PERLA - Daule, Ecuador;0;0;0;0;0;0;2015;105.0;0;0;1;1;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;1;1;0;1;0;1;1;0;0;2;2;0;0;0;0;1;1;0;0;136;136.0;1;0;0;0;0;1;0;2;2;136;;-2.029428;-79.91425;110000.0;110,000;Casa;De Venta;URB LA JOYA  - ETAPA PERLA  -  Daule, Ecuador
1400;b92d90fb48e5fe94de5b9461b9f8e46bf38a5695------Avenida Manuel Cordoba Galarza - San Cayetano - San Antonio, Ecuador;;Avenida Manuel Cordoba Galarza - San Cayetano - San Antonio, Ecuador;0;0;0;0;0;0;2016;147.0;0;1;0;0;0;1;0;0;0;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;6;3;3;2;1;0;0;0;1;1;0;57;205.0;1;0;0;1;0;1;6;3;3;205;;0.0450112;-78.445843503768;110000.0;110,000;Casa;De Venta;Avenida Manuel Cordoba Galarza  - San Cayetano  -  San Antonio, Ecuador
1401;40af940ebdb382861779a71a1dac0ff04c3c0cb8------N56-156 De los Jasminez - De los Jasminez - Kennedy - Kennedy, Ecuador;;N56-156 De los Jasminez - De los Jasminez - Kennedy - Kennedy, Ecuador;0;0;0;1;0;0;2007;148.0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;0;0;0;0;0;0;0;148;148.0;0;0;0;0;0;0;0;2;3;148;;0.0;0.0;110000.0;110,000;Casa;De Venta;N56-156 De los Jasminez  - De los Jasminez  - Kennedy  -  Kennedy, Ecuador
1402;c61346443044f94abf7f6dc489912772842c9b8b---Por Estrenar---via a San Mateo - Sur de Manta - Manta, Ecuador;Por Estrenar;via a San Mateo - Sur de Manta - Manta, Ecuador;1;0;0;0;0;0;2021;;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;500.98;500.98;1;0;1;0;0;1;0;0;0;500.98;VENDIDA;0.0;0.0;110000.0;110,000;Terreno;De Venta;via a San Mateo  - Sur de Manta  -  Manta, Ecuador
1403;dc663916a9ab910c2ac8014c6e3c385853da7097------N18-56 Calle Luis Larenas - Monjas Orquideas - Las Orquideas - Puengasi, Ecuador;;N18-56 Calle Luis Larenas - Monjas Orquideas - Las Orquideas - Puengasi, Ecuador;0;0;0;0;0;0;2008;319.0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;9;3;4;2;0;0;0;0;0;0;1;;319.0;0;0;0;1;0;0;9;3;4;319;;-0.223236;-78.488035;110000.0;110,000;Casa;De Venta;N18-56 Calle Luis Larenas  - Monjas Orquideas  - Las Orquideas  -  Puengasi, Ecuador
